area_id,expected_old_parent_id,parent_source_path,parent_existing_area_id,evidence,confidence,source_url,expected_parent_path
4545,109,,4561,Original Snoqualmie boulders are at Alpental/Snoqualmie Pass.,high,https://kaya-app.kayaclimb.com/climb/mission-improbable-v8-Snoqualmie-Pass-8165661/727748/740938,North America > United States > Washington > Central-West Cascades & Seattle > Snoqualmie Pass
4550,109,,4572,"Tum Tum is listed under Spokane Area, with matching original route identities.",high,https://www.mountainproject.com/area/106460904/spokane-area,North America > United States > Washington > Northeast Corner & Spokane > Spokane
4542,109,,4572,McLellan Rocks is a Spokane climbing area.,high,https://www.mountainproject.com/area/106460904/spokane-area,North America > United States > Washington > Northeast Corner & Spokane > Spokane
6940,4028,United States > California > Lake Tahoe > Carson Pass Highway (88) > Silver Lake,,Mountain Project places The Freaks beneath Silver Lake and its Mistaken Identity V8 in the Basement; original 53841 is the specific same-name climb candidate.,high,https://www.mountainproject.com/area/113481480/the-freaks,North America > United States > California > Lake Tahoe > Carson Pass Highway (88) > Silver Lake
4563,109,United States > Washington > Southeast Cascades & Yakima,,Horsethief Butte source crags have this regional parent; original Butte area should carry its children there.,high,https://www.mountainproject.com/route/120273427/face-2-groove,North America > United States > Washington > Southeast Cascades & Yakima
3778,86,Canada > Quebec > Outaouais > Gatineau Park,,Luskville escarpment is in Gatineau Park; move original detailed cliff subtree.,high,https://ncc-ccn.gc.ca/places/rock-climbing,North America > Canada > Québec > Outaouais > Gatineau Park
3647,84,Canada > British Columbia > Rockies > Yoho,,Parks Canada places Takakkaw Falls inside Yoho National Park.,high,https://parks.canada.ca/pn-np/bc/yoho/activ/places,North America > Canada > British Columbia > Rockies > Yoho
3717,84,Canada > British Columbia > Rockies > Yoho,,Parks Canada places Lake O Hara inside Yoho National Park.,high,https://parks.canada.ca/pn-np/bc/yoho/activ/randonnee-hike/ohara/visit,North America > Canada > British Columbia > Rockies > Yoho
4317,105,United States > Oregon > Central Oregon,,Meadow Camp is in the Central Oregon climbing region.,high,https://www.mountainproject.com/area/109532041/central-oregon,North America > United States > Oregon > Central Oregon
4119,98,United States > California > San Diego County > South San Diego County,,Mission Gorge is in San Diego County and source South San Diego County region.,high,https://www.sandiego.gov/park-and-recreation/parks/osp/mtrails,North America > United States > California > San Diego County > South San Diego County
4135,98,United States > California > Inland Empire > Riverside Area,,Mount Rubidoux is in Riverside and its source Riverside Area region.,high,https://www.mountainproject.com/area/105736020/mount-rubidoux,North America > United States > California > Inland Empire > Riverside Area
4019,97,United States > Arizona > Southern Arizona,,The Mustang is in Southern Arizona source region.,high,https://www.mountainproject.com/area/105708966/arizona,North America > United States > Arizona > Southern Arizona
4367,105,United States > Oregon > Mt. Hood National Forest,,Area 51 is within Mt. Hood National Forest.,high,https://www.mountainproject.com/area/105708965/oregon,North America > United States > Oregon > Mt. Hood National Forest
4349,105,United States > Oregon > Mt. Hood National Forest,,Lost City is in the Mt. Hood National Forest region.,high,https://www.mountainproject.com/area/105708965/oregon,North America > United States > Oregon > Mt. Hood National Forest
4375,105,United States > Oregon > Mt. Hood National Forest,,Kiwanis Camp is in the Mt. Hood National Forest region.,high,https://www.mountainproject.com/area/105708965/oregon,North America > United States > Oregon > Mt. Hood National Forest
4334,105,United States > Oregon > Southwest Oregon,,Mill Creek Falls is in Southwest Oregon.,high,https://www.mountainproject.com/area/109532066/southwest-oregon,North America > United States > Oregon > Southwest Oregon
4318,105,United States > Oregon > Central Oregon,,Sisters is in Central Oregon; do not create a Bouldering category parent.,high,https://www.mountainproject.com/area/109532041/central-oregon,North America > United States > Oregon > Central Oregon
4347,105,United States > Oregon > Southwest Oregon,,Bear Creek Boulders and The Callahans are separate sibling areas in Southwest Oregon; the OpenBeta Callahans parent is false.,high,https://www.mountainproject.com/area/109532066/southwest-oregon,North America > United States > Oregon > Southwest Oregon
4208,101,United States > Idaho > North Idaho,,Lenville Road Boulders is in North Idaho.,high,https://www.mountainproject.com/area/105708968/idaho,North America > United States > Idaho > North Idaho
4305,104,United States > Utah > West Desert > Stansbury Mountains,,Lone Rock is in Stansbury Mountains source path.,high,https://www.mountainproject.com/area/105708966/utah,North America > United States > Utah > West Desert > Stansbury Mountains
4292,104,United States > Utah > South Central Utah,,San Rafael Swell is in South Central Utah; this restores the source region above the original area.,high,https://www.mountainproject.com/area/105787863/san-rafael-swell,North America > United States > Utah > South Central Utah
4576,110,United States > Alaska > Anchorage & South Central Alaska,,Hatcher Pass is in the Anchorage and South Central Alaska climbing region.,high,https://www.mountainproject.com/area/106207101/hatcher-pass,North America > United States > Alaska > Anchorage & South Central Alaska
4272,104,United States > Utah > Southwest Utah,,Cedar City is in the Southwest Utah climbing region.,high,https://www.mountainproject.com/area/105854419/cedar-city,North America > United States > Utah > Southwest Utah
4815,125,United States > Virginia > Southwest Virginia (Appalachia),,Breaks Interstate Park is in Southwest Virginia.,high,https://www.mountainproject.com/area/111742350/breaks-interstate-park,North America > United States > Virginia > Southwest Virginia (Appalachia)
4120,98,United States > California > Tahquitz & Suicide Rocks,,Tahquitz Rock lies within the Tahquitz and Suicide Rocks climbing region.,high,https://www.mountainproject.com/area/105788020/tahquitz-suicide-rocks,North America > United States > California > Tahquitz & Suicide Rocks
4713,117,United States > Connecticut > Central Valley,,Ragged Mountain is in the Central Valley climbing region.,high,https://www.mountainproject.com/area/108314153/ragged-mountain,North America > United States > Connecticut > Central Valley
4830,127,United States > Minnesota > Tettegouche SP (North Shore),,Minnesota DNR places Palisade Head within Tettegouche State Park.,high,https://www.dnr.state.mn.us/state_parks/virtual_tour/tettegouche/dialup.html,North America > United States > Minnesota > Tettegouche SP (North Shore)
7688,4692,United States > New York > Adirondacks > K: Northern Region,,McKenzie Pond Boulders are in the Northern Adirondacks source region.,high,https://www.mountainproject.com/area/107414193/mckenzie-pond-boulders,North America > United States > New York > Adirondacks > Northern Region
8081,5963,,10827,"MP places Fern Hill under Mamquam FSR, correcting the original Crumpit Woods placement.",high,https://www.mountainproject.com/area/106327522/fern-hill,North America > Canada > British Columbia > Squamish > Mamquam FSR
7366,4408,,16031,Project Wall is within Rifle Mountain Park.,high,https://www.mountainproject.com/area/105744310/rifle-mountain-park,North America > United States > Colorado > Rifle > Rifle Mountain Park
7367,4408,,16031,Arsenal is within Rifle Mountain Park.,high,https://www.mountainproject.com/area/105744310/rifle-mountain-park,North America > United States > Colorado > Rifle > Rifle Mountain Park
7368,4408,,16031,Ruckman Cave is within Rifle Mountain Park.,high,https://www.mountainproject.com/area/105744310/rifle-mountain-park,North America > United States > Colorado > Rifle > Rifle Mountain Park
7745,4795,,7728,Torrent Falls is in the Natural Bridge Region represented by original Natural Bridge ID7728.,high,https://www.mountainproject.com/area/118235464/natural-bridge-region,North America > United States > Kentucky > Red River Gorge > Natural Bridge
5960,3611,,5970,Original North Walls boulders lie on Stawamus Chief; route evidence already links 67 source routes across its child crags.,high,https://www.mountainproject.com/area/105805895/stawamus-chief,North America > Canada > British Columbia > Squamish > The Chief
4581,110,United States > Alaska > Anchorage & South Central Alaska,,Mountain Project places Seward Highway in South Central Alaska; source routes also carry this regional parent.,high,https://www.mountainproject.com/area/105991968/seward-highway,North America > United States > Alaska > Anchorage & South Central Alaska
4451,108,United States > Colorado > Estes Park Valley,,Mountain Project places Lumpy Ridge and Estes Park crags within Estes Park Valley; retain original Estes Park subtree as a more specific child.,high,https://www.mountainproject.com/area/105801865/estes-park-valley,North America > United States > Colorado > Estes Park Valley
4592,111,United States > Texas > Austin Area,,Mountain Project places Reimers Ranch climbing within Austin Area; original ranch area is the same place.,high,https://www.mountainproject.com/area/105837312/reimers-ranch,North America > United States > Texas > Austin Area
7592,4592,,7596,The Dude Wall is listed under Reimer's Ranch North Shore rather than Ranch Proper; preserve original route IDs.,high,https://www.mountainproject.com/area/107788017/reimers-ranch-north-shore,North America > United States > Texas > Austin Area > Reimer's Ranch > North Shore
7594,4592,,7596,Mossy Wall is listed under Reimer's Ranch North Shore rather than Ranch Proper; preserve original route IDs.,high,https://www.mountainproject.com/area/107788017/reimers-ranch-north-shore,North America > United States > Texas > Austin Area > Reimer's Ranch > North Shore
4441,108,United States > Colorado > South Platte,,Eleven Mile Canyon is within the South Platte climbing region.,high,https://www.mountainproject.com/area/105797719/south-platte,North America > United States > Colorado > South Platte
4361,105,United States > Oregon > Southwest Oregon,,"The Callahans is in Southwest Oregon, separate from Bear Creek Boulders.",high,https://www.mountainproject.com/area/109532066/southwest-oregon,North America > United States > Oregon > Southwest Oregon
4245,103,"United States > Massachusetts > Eastern, MA",,Gilbert Hills State Park lies within the Eastern Massachusetts climbing region.,high,https://www.mountainproject.com/area/106320464/gilbert-hills-state-park,"North America > United States > Massachusetts > Eastern, MA"
4742,119,United States > Montana > Southwest Region,,Madison River Crags is in the Montana Southwest Region; preserve separate Bear Trap area pending alias review.,high,https://www.mountainproject.com/map/115434133/,North America > United States > Montana > Southwest Region
4808,125,United States > Virginia > DC & Northern VA Region,,"Virginia Great Falls is in the DC and Northern Virginia region, separate from the Maryland-side area.",high,https://www.mountainproject.com/area/106163226/great-falls,North America > United States > Virginia > DC & Northern VA Region
3992,96,United States > Arkansas > Northwest Arkansas (NWA) Region,,Fern is in the Northwest Arkansas climbing region.,high,https://www.mountainproject.com/area/118730582/northwest-arkansas-nwa-region,North America > United States > Arkansas > Northwest Arkansas (NWA) Region
4468,108,United States > Colorado > Eagle/Vail/Minturn/Red Cliff,,Lime Park is in the Eagle/Vail/Minturn/Red Cliff climbing region.,high,https://www.mountainproject.com/area/105802428/eaglevailminturnred-cliff,North America > United States > Colorado > Eagle/Vail/Minturn/Red Cliff
4290,104,United States > Utah > Southeast Utah,,River Road is within Southeast Utah.,high,https://www.mountainproject.com/area/105716790/river-road,North America > United States > Utah > Southeast Utah
4634,112,United States > New Mexico > Taos Area,,Tres Piedras is within the Taos climbing region.,high,https://www.mountainproject.com/area/105868955/taos-area,North America > United States > New Mexico > Taos Area
4289,104,United States > Utah > Northeast Utah,,Flaming Gorge is in the Northeast Utah climbing region.,high,https://www.mountainproject.com/area/107736124/cedar-springs-overlook-wall,North America > United States > Utah > Northeast Utah
4288,104,United States > Utah > West Desert,,House Range is within the West Desert of Utah.,high,https://www.mountainproject.com/area/112409907/west-desert,North America > United States > Utah > West Desert
4644,113,United States > West Virginia > Eastern WV,,Smoke Hole Canyon is in eastern West Virginia.,high,https://www.wvgs.wvnet.edu/www/geology/geolfa01.htm,North America > United States > West Virginia > Eastern WV
4498,108,,4441,Heaven's Gate is a subarea of Eleven Mile Canyon within South Platte.,high,https://www.mountainproject.com/area/107170045/heavens-gate,North America > United States > Colorado > South Platte > Eleven Mile Canyon
3690,84,Canada > British Columbia > Boundary Country,,"The City of Grand Forks identifies the city as Boundary Country, between Okanagan and Kootenays; this is more precise than OpenBeta Kootenays West.",high,https://www.grandforks.ca/geography/,North America > Canada > British Columbia > Boundary Country
4277,104,United States > Utah > Southeast Utah,,Moab and its surrounding crags are in Southeast Utah; its distinct child corridors are reviewed separately.,high,https://www.mountainproject.com/area/105716711/southeast-utah,North America > United States > Utah > Southeast Utah
4741,119,United States > Montana > Southwest Region,,Homestake Pass is in Montana Southwest Region.,high,https://www.mountainproject.com/area/107011606/dragons-back,North America > United States > Montana > Southwest Region
4296,104,United States > Utah > Southeast Utah,,Arches National Park is in Southeast Utah.,high,https://www.mountainproject.com/area/105716937/tower-of-babel,North America > United States > Utah > Southeast Utah
4172,99,United States > New Hampshire > WM: Kancamagus (Central),,Greens Cliff is in the central Kancamagus climbing region.,high,https://www.mountainproject.com/route/114001066/the-cracks-to-el-dorado,North America > United States > New Hampshire > WM: Kancamagus (Central)
4465,108,United States > Colorado > Ouray vicinity (rock),,Original Ouray crags are within the broader Ouray vicinity climbing area; source routes place Pool Wall there.,high,https://www.mountainproject.com/area/105846105/ouray-vicinity-rock,North America > United States > Colorado > Ouray vicinity (rock)
